CODGEO;LIBGEO;REG;DEP;E14A17;DE14A17;C114A17;C214A17;C314A17;C414A17;C514A17;FZ14A17;GZ14A17;HZ14A17;IZ14A17;JZ14A17;KZ14A17;LZ14A17;MN14A17;OQ14A17;RU14A17;;
01058;Brégnier-Cordon;82;01;44;4;3;0;4;0;2;6;9;4;3;0;2;0;2;3;2;;
01059;Brénaz;82;01;6;0;0;0;0;0;0;4;0;0;1;0;0;1;0;0;0;;
01060;Brénod;82;01;23;0;2;0;0;0;1;5;3;1;3;1;0;0;4;3;0;;
01061;Brens;82;01;35;1;0;0;0;0;3;5;11;1;3;0;1;2;2;1;5;;
01062;Bressolles;82;01;44;0;0;0;2;0;9;2;7;2;1;1;1;5;13;1;0;;
01063;Brion;82;01;39;1;0;0;1;1;4;8;5;2;1;1;3;3;3;5;1;;
01064;Briord;82;01;45;1;0;0;0;0;4;6;12;1;5;1;2;0;9;2;2;;
01065;Buellas;82;01;68;0;1;0;0;0;3;10;11;1;3;3;6;2;12;8;8;;
01066;La Burbanche;82;01;5;2;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;;
01067;Ceignes;82;01;16;0;0;0;0;0;1;7;4;0;1;1;1;0;1;0;0;;
01068;Cerdon;82;01;40;0;0;0;0;0;3;10;12;1;5;1;1;0;2;2;3;;
01069;Certines;82;01;57;2;1;0;0;1;2;14;6;2;2;3;4;1;12;4;3;;
01071;Cessy;82;01;181;1;1;0;1;0;8;30;46;3;4;0;14;2;25;22;24;;
01072;Ceyzériat;82;01;188;6;6;0;0;0;11;24;36;5;7;9;14;8;25;26;11;;
01073;Ceyzérieu;82;01;41;1;2;0;0;0;1;17;2;2;0;0;0;1;10;3;2;;
01074;Chalamont;82;01;155;0;3;0;1;0;8;26;32;7;7;2;6;6;19;21;17;;
01075;Chaleins;82;01;81;0;2;0;0;1;8;14;11;4;2;0;2;3;13;11;10;;
01076;Chaley;82;01;6;2;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;;
01077;Challes-la-Montagne;82;01;11;0;1;0;0;0;1;4;1;0;2;0;0;0;1;0;1;;
01078;Challex;82;01;32;1;1;0;0;0;1;5;4;0;3;0;0;1;10;3;3;;
01079;Champagne-en-Valromey;82;01;65;2;3;0;0;0;1;9;13;4;2;0;2;1;12;12;4;;
01080;Champdor;82;01;17;3;0;0;0;0;2;3;2;0;1;0;1;0;2;2;1;;
01081;Champfromier;82;01;35;0;1;0;0;1;1;10;4;1;5;1;2;1;5;1;2;;
01082;Chanay;82;01;15;0;0;0;0;0;1;3;4;1;1;0;0;0;2;2;1;;
01083;Chaneins;82;01;55;1;1;0;1;0;7;10;9;2;2;2;0;0;11;2;7;;
01084;Chanoz-Châtenay;82;01;35;2;0;0;0;0;4;7;5;0;1;0;0;2;10;1;3;;
01085;La Chapelle-du-Châtelard;82;01;21;1;0;0;0;0;1;4;1;1;3;0;2;1;3;0;4;;
01087;Charix;82;01;10;0;0;0;0;0;0;3;0;0;2;1;0;0;3;1;0;;
01088;Charnoz-sur-Ain;82;01;63;0;0;0;0;0;2;12;12;2;2;3;4;1;16;9;0;;
01089;Château-Gaillard;82;01;119;6;1;0;0;2;10;44;26;3;7;0;1;1;7;6;5;;
01090;Châtenay;82;01;19;0;0;0;0;0;0;2;5;1;1;0;0;0;4;2;4;;
01091;Châtillon-en-Michaille;82;01;193;4;2;0;1;0;8;40;50;5;10;2;5;9;26;18;13;;
